name,stars,score,score_location,score_cleaning,score_service,score_value_money,ranking,price,price_range,opinions,opinions_excellent,opinions_good,opinions_normal,opinions_bad,opinions_awful,num_qa,nearby_restaurants,nearby_attractions,zone,latitude,longitude,has_swimming_pool,has_bar,has_restaurant,has_breakfast,has_gym,has_reception_24h,has_ac,has_strongbox,admits_pets,rooms,suites,sea_views_rooms,non_smoking_rooms,landmarks_views_rooms,city_views_rooms,family_rooms,style,tripadvisor_clasification,language_spanish,language_catalan,language_french,language_english,language_italian,language_bulgarian,language_russian,language_portuguese,prat_distance,timestamp
Travelodge Barcelona Fira,3.0,3.5,4.0,4.5,4.0,4.0,354.0,,52 € - 166 €,234.0,77.0,72.0,49.0,19.0,17.0,15.0,66.0,7.0,Barcelona,41.352612,2.133542,False,True,True,True,False,True,True,False,False,83.0,False,False,True,False,False,True,Familiar,51 de 100,True,True,True,True,True,True,False,False,7,2020-11-02 15:37:45.938143
Four Points by Sheraton Barcelona Diagonal,3.0,4.5,4.0,4.5,4.5,4.5,150.0,76.0,79 € - 195 €,1574.0,685.0,692.0,137.0,31.0,30.0,99.0,170.0,11.0,Poblenou / Sant Martí,41.405308,2.196291,False,True,True,True,True,True,True,True,False,154.0,False,False,True,False,False,False,Ecológico,94 de 100,True,True,True,True,True,False,False,True,15,2020-11-02 15:37:58.762559
Hotel Miramar Barcelona,5.0,4.0,4.5,4.5,4.0,4.0,198.0,184.0,152 € - 283 €,1298.0,708.0,339.0,107.0,66.0,78.0,28.0,55.0,20.0,Montjuic / Sants-Montjuïc,41.370338,2.17156,True,True,True,True,True,True,True,True,False,75.0,False,True,True,False,False,False,Vistas al parque,97 de 100,False,True,True,True,False,False,False,False,11,2020-11-02 15:38:01.677586
W Barcelona,5.0,4.5,4.5,4.5,4.5,4.0,243.0,323.0,287 € - 813 €,7751.0,4598.0,1789.0,671.0,329.0,364.0,182.0,18.0,2.0,Ciutat Vella / El Port Vell / Barceloneta,41.36861,2.190032,True,True,True,True,True,True,True,True,True,473.0,True,True,True,False,False,False,Vistas a la bahía,75 de 100,True,False,False,False,False,False,False,False,12,2020-11-02 15:38:06.467551
Wilson Boutique Hotel,3.0,4.5,4.0,4.5,4.5,4.5,134.0,143.0,72 € - 224 €,1404.0,693.0,566.0,103.0,31.0,11.0,71.0,468.0,48.0,Sant Gervasi-Galvany,41.394268,2.150045,False,True,True,True,True,True,True,True,False,53.0,True,False,True,False,False,False,Boutique,100 de 100,True,True,True,True,True,False,False,False,12,2020-11-02 15:38:10.132305
Bird House,,4.0,4.5,4.0,4.0,4.5,80.0,,26 € - 112 €,288.0,113.0,111.0,29.0,11.0,24.0,10.0,388.0,50.0,El Ensanche (Eixample) / Sant Antoni,41.381451,2.159246,False,False,False,True,False,False,True,True,False,16.0,False,False,True,False,False,True,Económico,100 de 100,True,True,True,True,True,False,False,True,11,2020-11-02 15:38:13.365984
Apartments Sixtyfour,4.0,5.0,5.0,5.0,4.5,4.5,10.0,,124 € - 332 €,728.0,589.0,116.0,17.0,4.0,2.0,23.0,454.0,113.0,El Ensanche (Eixample) / Passeig de Gràcia / La Dreta de l'Eixample,41.392868,2.164553,False,False,False,False,False,False,True,False,False,19.0,True,False,True,False,False,True,Familiar,100 de 100,True,True,True,True,False,False,False,False,13,2020-11-02 15:38:16.850793
Hotel Praktik Vinoteca,3.0,4.5,4.5,4.5,4.5,4.5,92.0,98.0,56 € - 128 €,2252.0,1282.0,807.0,127.0,21.0,15.0,44.0,566.0,111.0,El Ensanche (Eixample) / L'Antiga Esquerra de l'Eixample,41.389297,2.162403,False,True,False,True,False,True,True,True,False,64.0,False,False,True,False,False,True,Moderno,100 de 100,True,True,True,True,False,False,False,False,12,2020-11-02 15:38:20.045101
Barcelona Hotel Colonial,4.0,4.0,4.5,4.5,4.0,4.0,313.0,126.0,66 € - 231 €,1025.0,284.0,434.0,200.0,56.0,51.0,34.0,668.0,275.0,Ciutat Vella / Barrio Gòtico (Barri Gòtic) / El Congrés i els Indians,41.382381,2.180725,False,True,False,True,False,True,True,True,False,81.0,False,False,True,False,False,False,Clásico,100 de 100,True,True,True,True,True,False,False,False,12,2020-11-02 15:38:25.255728
H10 Madison,4.5,5.0,5.0,5.0,5.0,4.5,6.0,160.0,126 € - 270 €,752.0,661.0,71.0,13.0,4.0,3.0,94.0,594.0,296.0,Ciutat Vella / Barrio Gòtico (Barri Gòtic) / El Congrés i els Indians,41.386108,2.17546,True,True,True,True,False,True,True,True,False,101.0,True,False,True,False,False,False,,100 de 100,True,True,True,True,False,False,False,False,13,2020-11-02 15:38:28.803589
